tokenID,name,description,file_name,attributes[Pealce],attributes[Realm],attributes[Origin],attributes[Vision],attributes[Tone],attributes[Flow],Fire,attributes[Artifact],attributes[Tier]
213,AH!rchives #213,[ˈäl̪t̪er] ヒーロー,213.png,Figaro,Megah!,Metal Fingers,Stare,All Caps,,Lauriers,,1
214,AH!rchives #214,[ˈäl̪t̪er] ヒーロー,214.png,,Dark Blū,Clay,Ye,!AH,Capsule,Lauriers,,1
215,AH!rchives #215,[ˈäl̪t̪er] ヒーロー,215.png,,Astro,Düne,Oracle,All Caps,,,Meowzart,1
216,AH!rchives #216,[ˈäl̪t̪er] ヒーロー,216.png,,Fayah!,Gumbo,Surprised,Stoik,Tee,Extended Version,,1
217,AH!rchives #217,[ˈäl̪t̪er] ヒーロー,217.png,,Doré,Seed,Hidden,Candy,Shiro,Golf,,2
218,AH!rchives #218,[ˈäl̪t̪er] ヒーロー,218.png,,Meknah,Ogs,Ye,All Caps,,,,1
219,AH!rchives #219,[ˈäl̪t̪er] ヒーロー,219.png,,Off White,Düne,The Slayer,Stoik,Shimokita,Seiya,,1
220,AH!rchives #220,[ˈäl̪t̪er] ヒーロー,220.png,,Red,Metal Fingers,Watcher,Stoik,Hero,Onsen,,1
221,AH!rchives #221,[ˈäl̪t̪er] ヒーロー,221.png,The Shining,Pømme,Golden,Hidden,!AH,,Golf,,1
222,AH!rchives #222,[ˈäl̪t̪er] ヒーロー,222.png,,Neo,Seed,Stare,Bye.,!Champloo,Lauriers,,1
223,AH!rchives #223,[ˈäl̪t̪er] ヒーロー,223.png,Double Nahki,Off White,All Star,Watcher,All Caps,,,,1
224,AH!rchives #224,[ˈäl̪t̪er] ヒーロー,224.png,,Astro,Clipse,Gaze,Stoik,Shiro,,!Sensei,1
225,AH!rchives #225,[ˈäl̪t̪er] ヒーロー,225.png,Double Nahki,Rain,Odeya,Mono,Bored,,,,1
226,AH!rchives #226,[ˈäl̪t̪er] ヒーロー,226.png,,Doré,Seed,Bloody,Yamé,Capsule,,!Chimp,1
227,AH!rchives #227,[ˈäl̪t̪er] ヒーロー,227.png,,Neo,Metal Fingers,Mono,All Caps,Baller,,,1
228,AH!rchives #228,[ˈäl̪t̪er] ヒーロー,228.png,,Dream,Gumbo,Ye,Stoik,Muraka,,Meowzart,1
229,AH!rchives #229,[ˈäl̪t̪er] ヒーロー,229.png,,Pømme,Seed,Shocked,Stoik,Hero,Crown,,1
230,AH!rchives #230,[ˈäl̪t̪er] ヒーロー,230.png,,Dark Blū,Gumbo,Poska,All Caps,General,,,1
231,AH!rchives #231,[ˈäl̪t̪er] ヒーロー,231.png,,Orange,Seed,Gaze,Curls,Okinawa,,,1
232,AH!rchives #232,[ˈäl̪t̪er] ヒーロー,232.png,,Sanctuary,Clay,Flowers,,Garden,Dropout,,1
233,AH!rchives #233,[ˈäl̪t̪er] ヒーロー,233.png,,Neo,Seed,Bloody,Stoik,Izu,Beanie,,1
234,AH!rchives #234,[ˈäl̪t̪er] ヒーロー,234.png,,Pømme,Seed,Watcher,All Caps,Monk,Lucid Dream,,1
235,AH!rchives #235,[ˈäl̪t̪er] ヒーロー,235.png,The Shining,Pak,Ogs,Watcher,!AH,,,,1
236,AH!rchives #236,[ˈäl̪t̪er] ヒーロー,236.png,,Blū,Seed,The Slayer,Stoik,Fury,Crown,,1
237,AH!rchives #237,[ˈäl̪t̪er] ヒーロー,237.png,Figaro,Hyero,Golden,Tribe,Stoik,,,,1
238,AH!rchives #238,[ˈäl̪t̪er] ヒーロー,238.png,,Fayah!,Seed,Oracle,Curls,Bō Staff,Mute,,1
239,AH!rchives #239,[ˈäl̪t̪er] ヒーロー,239.png,,Cream,Nahki,Prism,All Caps,Zanpah,Seiya,,2
240,AH!rchives #240,[ˈäl̪t̪er] ヒーロー,240.png,,Neo,Nahki,Stare,Quiet,Bō Staff,Mellow,,1
241,AH!rchives #241,[ˈäl̪t̪er] ヒーロー,241.png,,Megah!,Redbone,The Slayer,Golden T,Fury,Pega,,1
242,AH!rchives #242,[ˈäl̪t̪er] ヒーロー,242.png,,Red,Ogs,Watcher,Stoik,!Champloo,Onsen,,1
243,AH!rchives #243,[ˈäl̪t̪er] ヒーロー,243.png,,Blū,Clay,Stare,Stoik,,Golf,,1
244,AH!rchives #244,[ˈäl̪t̪er] ヒーロー,244.png,,Red,Metal Fingers,Comet,Stoik,Clouds,Onsen,,1
245,AH!rchives #245,[ˈäl̪t̪er] ヒーロー,245.png,Double Nahki,Pak,Geedorah,The Slayer,!AH,,Miya,,1
246,AH!rchives #246,[ˈäl̪t̪er] ヒーロー,246.png,,Rain,Seed,Poska,Bored,Bō Staff,,,1
247,AH!rchives #247,[ˈäl̪t̪er] ヒーロー,247.png,,Rose,Nova,Prism,All Caps,Baller,Beanie,,2
248,AH!rchives #248,[ˈäl̪t̪er] ヒーロー,248.png,,Off White,Nahki,Ye,!AH,7th Chamber,Pega,,1
249,AH!rchives #249,[ˈäl̪t̪er] ヒーロー,249.png,,Off White,Clipse,Prism,Stoik,!Champloo,Extended Version,,1
250,AH!rchives #250,[ˈäl̪t̪er] ヒーロー,250.png,,Doré,All Star,Ye,Stoik,Hoodie,Mellow,,1
251,AH!rchives #251,[ˈäl̪t̪er] ヒーロー,251.png,,Dark Blū,Düne,Quartet,All Caps,Avalanche,Lauriers,,1
252,AH!rchives #252,[ˈäl̪t̪er] ヒーロー,252.png,The Shining,Rain,Maze,Bloody,Bored,,Mellow,,1
253,AH!rchives #253,[ˈäl̪t̪er] ヒーロー,253.png,,Runner,Geedorah,Tribe,All Caps,General,Miya,,1
254,AH!rchives #254,[ˈäl̪t̪er] ヒーロー,254.png,,Cream,Seed,Prism,Candy,General,Pega,,1
255,AH!rchives #255,[ˈäl̪t̪er] ヒーロー,255.png,Figaro,Orange,Seed,The Slayer,All Caps,,Birds,!Sensei,2
256,AH!rchives #256,[ˈäl̪t̪er] ヒーロー,256.png,,Pømme,Metal Fingers,Duo,Stoik,Muraka,Nippon,,1
257,AH!rchives #257,[ˈäl̪t̪er] ヒーロー,257.png,The Next Episode,Pak,Maze,Watcher,Yamé,,Seiya,,1
258,AH!rchives #258,[ˈäl̪t̪er] ヒーロー,258.png,,Meknah,Maze,Ye,Candy,Baller,Beanie,,1
259,AH!rchives #259,[ˈäl̪t̪er] ヒーロー,259.png,Double Dragon,Sanctuary,Golden,A3000,Stoik,,,Meowzart,1
260,AH!rchives #260,[ˈäl̪t̪er] ヒーロー,260.png,The Shining,Cream,Geedorah,Tribe,All Caps,,,,1
261,AH!rchives #261,[ˈäl̪t̪er] ヒーロー,261.png,,Pak,Odeya,Mono,All Caps,Zanpah,,!Sensei,2
262,AH!rchives #262,[ˈäl̪t̪er] ヒーロー,262.png,,Orange,Seed,Rage,All Caps,Zanpah,Seiya,,2
263,AH!rchives #263,[ˈäl̪t̪er] ヒーロー,263.png,,Doré,Gumbo,Slash,Stoik,Borea,Lucid Dream,,1
264,AH!rchives #264,[ˈäl̪t̪er] ヒーロー,264.png,,Dark Blū,Metal Fingers,Duo,Stoik,Shimokita,Extended Version,,1
265,AH!rchives #265,[ˈäl̪t̪er] ヒーロー,265.png,,Sanctuary,Seed,Spirit,Bored,General,Onsen,,1
266,AH!rchives #266,[ˈäl̪t̪er] ヒーロー,266.png,,Pømme,Maze,The Slayer,All Caps,Hoodie,Halo,,1
267,AH!rchives #267,[ˈäl̪t̪er] ヒーロー,267.png,,,White Label,,,,,,1
268,AH!rchives #268,[ˈäl̪t̪er] ヒーロー,268.png,Barz,Off White,Seed,Ye,Bored,,!!,,1
269,AH!rchives #269,[ˈäl̪t̪er] ヒーロー,269.png,,Neo,Geedorah,The Slayer,Bored,Fury,Onsen,,1
270,AH!rchives #270,[ˈäl̪t̪er] ヒーロー,270.png,,Blū,All Star,Mono,!AH,Illest,,,2
271,AH!rchives #271,[ˈäl̪t̪er] ヒーロー,271.png,,Doré,Odeya,The Slayer,!AH,Muraka,Crown,,1
272,AH!rchives #272,[ˈäl̪t̪er] ヒーロー,272.png,,Pak,Odeya,The Slayer,!AH,Hero,Lauriers,,1
273,AH!rchives #273,[ˈäl̪t̪er] ヒーロー,273.png,,Doré,Seed,Gaze,Stoik,Capsule,,,1
274,AH!rchives #274,[ˈäl̪t̪er] ヒーロー,274.png,,Blū,Seed,Comet,!AH,!Champloo,Shoe Deal,,1
275,AH!rchives #275,[ˈäl̪t̪er] ヒーロー,275.png,,Hyero,Maze,Slash,Bored,Hero,,,1
276,AH!rchives #276,[ˈäl̪t̪er] ヒーロー,276.png,,,Ogs,Ye,All Caps,Shimokita,,!Sensei,1
277,AH!rchives #277,[ˈäl̪t̪er] ヒーロー,277.png,The Next Episode,Red,Düne,Surprised,All Caps,,,,2
278,AH!rchives #278,[ˈäl̪t̪er] ヒーロー,278.png,The Shining,Pak,All Star,Stare,!AH,,Mellow,,1
279,AH!rchives #279,[ˈäl̪t̪er] ヒーロー,279.png,,Meknah,Gumbo,The Slayer,All Caps,Illest,Mellow,,2
280,AH!rchives #280,[ˈäl̪t̪er] ヒーロー,280.png,,Rain,Nahki,Stare,Bored,Hoodie,Halo,,1
281,AH!rchives #281,[ˈäl̪t̪er] ヒーロー,281.png,,Red,Seed,Shocked,Bored,Hero,Onsen,,1
282,AH!rchives #282,[ˈäl̪t̪er] ヒーロー,282.png,,Red,Düne,Oracle,Stoik,Hero,Pega,,1
283,AH!rchives #283,[ˈäl̪t̪er] ヒーロー,283.png,,P!nk,Geedorah,Bloody,Stoik,,,!Chimp,1
284,AH!rchives #284,[ˈäl̪t̪er] ヒーロー,284.png,,Pak,Nova,The Slayer,!AH,Ronin,Seiya,,1
285,AH!rchives #285,[ˈäl̪t̪er] ヒーロー,285.png,,Orange,Clay,,,Hoodie,Kitsū,,1
286,AH!rchives #286,[ˈäl̪t̪er] ヒーロー,286.png,,Doré,Odeya,The Slayer,Curls,!Champloo,King Of The Court,,1
287,AH!rchives #287,[ˈäl̪t̪er] ヒーロー,287.png,,Astro,Seed,Ye,,,,,2
288,AH!rchives #288,[ˈäl̪t̪er] ヒーロー,288.png,,Megah!,Liquid,Sentinelle,Stoik,Tee,,White Noise,1
289,AH!rchives #289,[ˈäl̪t̪er] ヒーロー,289.png,,Runner,Seed,Bloody,All Caps,Bō Staff,Crown,,1
290,AH!rchives #290,[ˈäl̪t̪er] ヒーロー,290.png,Double Dragon,Doré,Ogs,Ye,Stoik,,Miya,,1
291,AH!rchives #291,[ˈäl̪t̪er] ヒーロー,291.png,,Off White,Maze,Ye,Stoik,,Seiya,,1
292,AH!rchives #292,[ˈäl̪t̪er] ヒーロー,292.png,,Rain,Geedorah,Mono,All Caps,Muraka,Golf,,2
293,AH!rchives #293,[ˈäl̪t̪er] ヒーロー,293.png,Barz,Megah!,Seed,Shocked,All Caps,,Crown,,1
294,AH!rchives #294,[ˈäl̪t̪er] ヒーロー,294.png,,Dark Blū,Maze,Oracle,Stoik,General,!!,,1
295,AH!rchives #295,[ˈäl̪t̪er] ヒーロー,295.png,,Fayah!,Nahki,The Slayer,Kookies,Hero,Mute,,1
296,AH!rchives #296,[ˈäl̪t̪er] ヒーロー,296.png,,Pømme,Seed,Spirit,All Caps,Ronin,Halo,,1
297,AH!rchives #297,[ˈäl̪t̪er] ヒーロー,297.png,The Shining,Blū,Maze,Slash,All Caps,,,,1
298,AH!rchives #298,[ˈäl̪t̪er] ヒーロー,298.png,,Orange,Düne,Poska,Bored,Shiro,,Ghost Brothers,1
299,AH!rchives #299,[ˈäl̪t̪er] ヒーロー,299.png,,Red,Clipse,Stare,Stoik,Shiro,Beanie,,1
300,AH!rchives #300,[ˈäl̪t̪er] ヒーロー,300.png,,Off White,Metal Fingers,Poska,Stoik,Shiro,Miya,,1
301,AH!rchives #301,[ˈäl̪t̪er] ヒーロー,301.png,,Doré,Gumbo,The Slayer,!AH,General,Onsen,,1
302,AH!rchives #302,[ˈäl̪t̪er] ヒーロー,302.png,,Doré,Geedorah,Mono,Quiet,,Faces,,1
303,AH!rchives #303,[ˈäl̪t̪er] ヒーロー,303.png,,Doré,Clipse,Poska,All Caps,Muraka,,White Noise,1
304,AH!rchives #304,[ˈäl̪t̪er] ヒーロー,304.png,,Cream,Maze,Bloody,Stoik,,Onsen,,1
305,AH!rchives #305,[ˈäl̪t̪er] ヒーロー,305.png,,Off White,Golden,Bloody,All Caps,General,Lauriers,Supervillain,1
306,AH!rchives #306,[ˈäl̪t̪er] ヒーロー,306.png,,P!nk,Redbone,Tribe,All Caps,Hero,Seiya,,1
307,AH!rchives #307,[ˈäl̪t̪er] ヒーロー,307.png,,,First Press,,,,,,3
308,AH!rchives #308,[ˈäl̪t̪er] ヒーロー,308.png,,Orange,Seed,The Answer,Golden T,!Champloo,King Of The Court,,1
309,AH!rchives #309,[ˈäl̪t̪er] ヒーロー,309.png,,Pak,Clay,Watcher,Golden T,Hero,Seiya,,1
310,AH!rchives #310,[ˈäl̪t̪er] ヒーロー,310.png,,Neo,Liquid,,Stoik,Shiro,,,2
311,AH!rchives #311,[ˈäl̪t̪er] ヒーロー,311.png,,Blū,Seed,Surprised,Stoik,Hero,Shift,,1
312,AH!rchives #312,[ˈäl̪t̪er] ヒーロー,312.png,Figaro,Rose,Clay,Hidden,Stoik,,Golf,,1
313,AH!rchives #313,[ˈäl̪t̪er] ヒーロー,313.png,,Pak,Seed,Comet,Bye.,!Champloo,Seiya,,2
314,AH!rchives #314,[ˈäl̪t̪er] ヒーロー,314.png,,Red,Geedorah,Ye,Stoik,,,White Noise,1
315,AH!rchives #315,[ˈäl̪t̪er] ヒーロー,315.png,,Doré,Seed,Tribe,All Caps,Swat,,Supervillain,1
316,AH!rchives #316,[ˈäl̪t̪er] ヒーロー,316.png,,Red,Golden,Slash,Stoik,Rider,,,1
317,AH!rchives #317,[ˈäl̪t̪er] ヒーロー,317.png,,Cream,Clay,Ye,All Caps,,,White Noise,1
318,AH!rchives #318,[ˈäl̪t̪er] ヒーロー,318.png,,Neo,Maze,Ye,All Caps,Shiro,,,1
319,AH!rchives #319,[ˈäl̪t̪er] ヒーロー,319.png,Figaro,Rose,Liquid,Stare,Stoik,,,,1
320,AH!rchives #320,[ˈäl̪t̪er] ヒーロー,320.png,,Off White,Seed,Bloody,Candy,Hero,Pega,,1
321,AH!rchives #321,[ˈäl̪t̪er] ヒーロー,321.png,The Shining,Doré,Golden,Bloody,!AH,,Seiya,,1
322,AH!rchives #322,[ˈäl̪t̪er] ヒーロー,322.png,,Sanctuary,Clay,The Slayer,All Caps,Shiro,,,1
323,AH!rchives #323,[ˈäl̪t̪er] ヒーロー,323.png,,Cream,Seed,Shocked,Stoik,Shiro,Onsen,,1
324,AH!rchives #324,[ˈäl̪t̪er] ヒーロー,324.png,,Cream,Nahki,The Slayer,!AH,Swat,Seiya,,1
325,AH!rchives #325,[ˈäl̪t̪er] ヒーロー,325.png,,P!nk,Clay,Shocked,Stoik,,,Meowzart,1
326,AH!rchives #326,[ˈäl̪t̪er] ヒーロー,326.png,,P!nk,Seed,Poska,Golden T,Shiro,Onsen,,1
327,AH!rchives #327,[ˈäl̪t̪er] ヒーロー,327.png,,Rain,Odeya,Mono,Bored,7th Chamber,,!Sensei,1
328,AH!rchives #328,[ˈäl̪t̪er] ヒーロー,328.png,,P!nk,Seed,Stare,Curls,Swat,Onsen,,1
329,AH!rchives #329,[ˈäl̪t̪er] ヒーロー,329.png,,Cream,Ogs,Hidden,Bored,Monk,Golf,,2
330,AH!rchives #330,[ˈäl̪t̪er] ヒーロー,330.png,,Megah!,Nova,Tribe,All Caps,Hero,Onsen,Supervillain,2
331,AH!rchives #331,[ˈäl̪t̪er] ヒーロー,331.png,,Red,Seed,Tribe,Kush,Hero,Beanie,,1
332,AH!rchives #332,[ˈäl̪t̪er] ヒーロー,332.png,,Dark Blū,Geedorah,Ye,Stoik,Baller,Lauriers,,1
333,AH!rchives #333,[ˈäl̪t̪er] ヒーロー,333.png,,Blū,Maze,Bloody,Stoik,,Lauriers,,1
334,AH!rchives #334,[ˈäl̪t̪er] ヒーロー,334.png,,Cream,Düne,Mono,Yamé,Fury,,Meowzart,1
335,AH!rchives #335,[ˈäl̪t̪er] ヒーロー,335.png,The Next Episode,Orange,Geedorah,Prism,Stoik,,,,1
336,AH!rchives #336,[ˈäl̪t̪er] ヒーロー,336.png,,Rain,Seed,A3000,Stoik,Hoodie,Faces,,1
337,AH!rchives #337,[ˈäl̪t̪er] ヒーロー,337.png,,Red,Redbone,Poska,Stoik,Hoodie,Lauriers,,1
338,AH!rchives #338,[ˈäl̪t̪er] ヒーロー,338.png,,Pømme,Seed,A3000,Yamé,!Champloo,Lauriers,,1
339,AH!rchives #339,[ˈäl̪t̪er] ヒーロー,339.png,,Hyero,Clipse,Slash,Stoik,7th Chamber,Mellow,,1
340,AH!rchives #340,[ˈäl̪t̪er] ヒーロー,340.png,,Rain,Ogs,Stare,Quiet,Zanpah,Seiya,,2
341,AH!rchives #341,[ˈäl̪t̪er] ヒーロー,341.png,,Pømme,Seed,Tribe,Bored,Capsule,Miya,,1
342,AH!rchives #342,[ˈäl̪t̪er] ヒーロー,342.png,,Sanctuary,Seed,Watcher,All Caps,Hero,Seiya,,1
343,AH!rchives #343,[ˈäl̪t̪er] ヒーロー,343.png,,Dark Blū,All Star,The Slayer,Yamé,Swat,Crown,,1
344,AH!rchives #344,[ˈäl̪t̪er] ヒーロー,344.png,,Cream,Redbone,Slash,Stoik,Bō Staff,Mush,,1
345,AH!rchives #345,[ˈäl̪t̪er] ヒーロー,345.png,,Neo,Düne,Mono,All Caps,Capsule,Benny,,1
346,AH!rchives #346,[ˈäl̪t̪er] ヒーロー,346.png,,Sanctuary,Seed,Stare,Stoik,Capsule,Miya,,1
347,AH!rchives #347,[ˈäl̪t̪er] ヒーロー,347.png,,Cream,Düne,Bloody,All Caps,Swat,Mush,,1
348,AH!rchives #348,[ˈäl̪t̪er] ヒーロー,348.png,,Doré,Nahki,Mono,Quiet,,,!Sensei,1
349,AH!rchives #349,[ˈäl̪t̪er] ヒーロー,349.png,Double Dragon,P!nk,Redbone,Watcher,Stoik,,Onsen,,1
350,AH!rchives #350,[ˈäl̪t̪er] ヒーロー,350.png,,Astro,Seed,Hidden,Golden T,Okinawa,Golf,,1
351,AH!rchives #351,[ˈäl̪t̪er] ヒーロー,351.png,,Megah!,Nahki,Tribe,Stoik,Swat,,,1
352,AH!rchives #352,[ˈäl̪t̪er] ヒーロー,352.png,,Pak,Golden,Slash,Stoik,Baller,Onsen,,1
353,AH!rchives #353,[ˈäl̪t̪er] ヒーロー,353.png,,Doré,Clipse,Mono,Stoik,!Champloo,King Of The Court,,1
354,AH!rchives #354,[ˈäl̪t̪er] ヒーロー,354.png,,Pak,Seed,Ye,!AH,Ronin,Beanie,,1
355,AH!rchives #355,[ˈäl̪t̪er] ヒーロー,355.png,,Pømme,Seed,Poska,Bored,,Birds,,1
356,AH!rchives #356,[ˈäl̪t̪er] ヒーロー,356.png,Figaro,Orange,Ogs,Oracle,Stoik,,King Of The Court,,1
357,AH!rchives #357,[ˈäl̪t̪er] ヒーロー,357.png,,Runner,Maze,Ye,Stoik,Borea,Halo,,1
358,AH!rchives #358,[ˈäl̪t̪er] ヒーロー,358.png,,Rose,Clay,Stare,Bored,Fury,Shift,,1
359,AH!rchives #359,[ˈäl̪t̪er] ヒーロー,359.png,,Rain,Maze,Bloody,Stoik,Muraka,Mush,,1
360,AH!rchives #360,[ˈäl̪t̪er] ヒーロー,360.png,Double Dragon,Red,Redbone,Slash,All Caps,,Halo,,1
361,AH!rchives #361,[ˈäl̪t̪er] ヒーロー,361.png,,Rose,Clipse,The Answer,All Caps,General,Bulls,,1
362,AH!rchives #362,[ˈäl̪t̪er] ヒーロー,362.png,,,First Press,,,,,,3
363,AH!rchives #363,[ˈäl̪t̪er] ヒーロー,363.png,Barz,Doré,All Star,Surprised,Stoik,,,,1
364,AH!rchives #364,[ˈäl̪t̪er] ヒーロー,364.png,,Sanctuary,Seed,Hidden,Stoik,Ronin,Golf,,1
365,AH!rchives #365,[ˈäl̪t̪er] ヒーロー,365.png,,Pømme,Clay,Shocked,Bored,Clouds,Lauriers,,1
366,AH!rchives #366,[ˈäl̪t̪er] ヒーロー,366.png,Double Nahki,Rain,Maze,Watcher,Stoik,,,,1
367,AH!rchives #367,[ˈäl̪t̪er] ヒーロー,367.png,,Off White,Redbone,The Slayer,Kookies,Fury,Mute,,1
368,AH!rchives #368,[ˈäl̪t̪er] ヒーロー,368.png,,Rose,Seed,Tribe,Curls,Swat,King Of The Court,,1
369,AH!rchives #369,[ˈäl̪t̪er] ヒーロー,369.png,,,White Label,,,,,,1
370,AH!rchives #370,[ˈäl̪t̪er] ヒーロー,370.png,,Cream,Seed,The Slayer,Stoik,Hero,Seiya,,1
371,AH!rchives #371,[ˈäl̪t̪er] ヒーロー,371.png,,Dark Blū,Seed,The Slayer,Stoik,!Champloo,,,1
372,AH!rchives #372,[ˈäl̪t̪er] ヒーロー,372.png,,Pak,Clay,Mono,!AH,Tee,Crown,,1
373,AH!rchives #373,[ˈäl̪t̪er] ヒーロー,373.png,,Dream,Seed,Ye,Yamé,Bō Staff,Mush,,1
374,AH!rchives #374,[ˈäl̪t̪er] ヒーロー,374.png,,Neo,Seed,Gaze,Quiet,Hoodie,Lauriers,,1
375,AH!rchives #375,[ˈäl̪t̪er] ヒーロー,375.png,,Off White,Seed,Stare,!AH,General,Birds,,1
376,AH!rchives #376,[ˈäl̪t̪er] ヒーロー,376.png,,Pømme,Redbone,Stare,All Caps,Clouds,,,1
377,AH!rchives #377,[ˈäl̪t̪er] ヒーロー,377.png,,Meknah,All Star,Gaze,All Caps,Hoodie,Mellow,,1
378,AH!rchives #378,[ˈäl̪t̪er] ヒーロー,378.png,,Cream,Maze,Oracle,All Caps,,,!Chimp,1
379,AH!rchives #379,[ˈäl̪t̪er] ヒーロー,379.png,,Runner,Clay,Mono,All Caps,Illest,,Supervillain,1
380,AH!rchives #380,[ˈäl̪t̪er] ヒーロー,380.png,,Blū,All Star,Gaze,All Caps,Zanpah,Halo,,1
381,AH!rchives #381,[ˈäl̪t̪er] ヒーロー,381.png,,Dream,Metal Fingers,Ye,Stoik,Hoodie,Mellow,,1
382,AH!rchives #382,[ˈäl̪t̪er] ヒーロー,382.png,,Neo,Seed,Watcher,Kush,Shiro,Mellow,,1
383,AH!rchives #383,[ˈäl̪t̪er] ヒーロー,383.png,,Cream,Seed,Comet,Yamé,Swat,Mute,,1
384,AH!rchives #384,[ˈäl̪t̪er] ヒーロー,384.png,Double Nahki,Off White,Geedorah,The Slayer,!AH,,,,1
385,AH!rchives #385,[ˈäl̪t̪er] ヒーロー,385.png,,Rain,Liquid,Surprised,Stoik,7th Chamber,Extended Version,,1
386,AH!rchives #386,[ˈäl̪t̪er] ヒーロー,386.png,,Rose,Düne,Shocked,All Caps,,,,1
387,AH!rchives #387,[ˈäl̪t̪er] ヒーロー,387.png,,Meknah,Nova,Gaze,Yamé,Shiro,,,1
388,AH!rchives #388,[ˈäl̪t̪er] ヒーロー,388.png,The Shining,Red,Golden,Watcher,All Caps,,Bobby,,2
389,AH!rchives #389,[ˈäl̪t̪er] ヒーロー,389.png,,Orange,Nebu,Gaze,All Caps,,,White Noise,1
390,AH!rchives #390,[ˈäl̪t̪er] ヒーロー,390.png,,Rose,Bahbū,Surprised,All Caps,Hero,Pega,,1
391,AH!rchives #391,[ˈäl̪t̪er] ヒーロー,391.png,Double Nahki,Blū,Redbone,Ye,Bored,,,,1
392,AH!rchives #392,[ˈäl̪t̪er] ヒーロー,392.png,,Neo,Golden,Watcher,All Caps,General,Mellow,,1
393,AH!rchives #393,[ˈäl̪t̪er] ヒーロー,393.png,Barz,Megah!,Nahki,The Slayer,Stoik,,Shift,,1
394,AH!rchives #394,[ˈäl̪t̪er] ヒーロー,394.png,,Doré,Nebu,Bloody,All Caps,Ronin,Seiya,,1
395,AH!rchives #395,[ˈäl̪t̪er] ヒーロー,395.png,Barz,Cream,Düne,Spirit,Stoik,,,,1
396,AH!rchives #396,[ˈäl̪t̪er] ヒーロー,396.png,,Doré,Clay,Ye,Stoik,Monk,Miya,,1
397,AH!rchives #397,[ˈäl̪t̪er] ヒーロー,397.png,,Rose,Gumbo,Surprised,Stoik,Rider,,,1
398,AH!rchives #398,[ˈäl̪t̪er] ヒーロー,398.png,,Fayah!,Clay,Prism,All Caps,Rider,Onsen,,1
399,AH!rchives #399,[ˈäl̪t̪er] ヒーロー,399.png,,Neo,Nova,Poska,All Caps,Bō Staff,Shift,,1
400,AH!rchives #400,[ˈäl̪t̪er] ヒーロー,400.png,Double Dragon,Doré,Liquid,The Slayer,!AH,,Halo,,1
401,AH!rchives #401,[ˈäl̪t̪er] ヒーロー,401.png,,Off White,Clay,Stare,Stoik,General,,,1
402,AH!rchives #402,[ˈäl̪t̪er] ヒーロー,402.png,The Shining,Doré,Golden,The Slayer,Candy,,Mellow,,1
403,AH!rchives #403,[ˈäl̪t̪er] ヒーロー,403.png,,Fayah!,Geedorah,,,,Kitsū,,2
404,AH!rchives #404,[ˈäl̪t̪er] ヒーロー,404.png,,Astro,Clay,Mono,Stoik,Clouds,Birds,,1
405,AH!rchives #405,[ˈäl̪t̪er] ヒーロー,405.png,,Red,Redbone,Mono,All Caps,Hero,Lauriers,,2
406,AH!rchives #406,[ˈäl̪t̪er] ヒーロー,406.png,The Next Episode,Cream,Clay,Hidden,All Caps,,Golf,,1
407,AH!rchives #407,[ˈäl̪t̪er] ヒーロー,407.png,,Pømme,Nova,Watcher,!AH,Zanpah,Seiya,,2
408,AH!rchives #408,[ˈäl̪t̪er] ヒーロー,408.png,,Red,Metal Fingers,Duo,All Caps,Muraka,Onsen,,1
409,AH!rchives #409,[ˈäl̪t̪er] ヒーロー,409.png,,Pømme,Oshen,Ye,Stoik,Hoodie,,!Chimp,1
410,AH!rchives #410,[ˈäl̪t̪er] ヒーロー,410.png,,Megah!,All Star,Poska,Bored,Shimokita,Birds,,1
411,AH!rchives #411,[ˈäl̪t̪er] ヒーロー,411.png,,Orange,Geedorah,Gaze,Bored,Shiro,,,1
412,AH!rchives #412,[ˈäl̪t̪er] ヒーロー,412.png,The Next Episode,Runner,Seed,Poska,Vomitspit,,Pega,,1
413,AH!rchives #413,[ˈäl̪t̪er] ヒーロー,413.png,,Doré,Geedorah,The Slayer,Candy,General,Gangsta,,1
414,AH!rchives #414,[ˈäl̪t̪er] ヒーロー,414.png,,Red,Gumbo,The Slayer,Stoik,,King Of The Court,,1
415,AH!rchives #415,[ˈäl̪t̪er] ヒーロー,415.png,,P!nk,Gumbo,Stare,Stoik,Zanpah,Bloodsport,,1
416,AH!rchives #416,[ˈäl̪t̪er] ヒーロー,416.png,,Red,Maze,Watcher,All Caps,Hero,Seiya,,1
417,AH!rchives #417,[ˈäl̪t̪er] ヒーロー,417.png,,Red,Düne,Gaze,Stoik,,,!Chimp,1
418,AH!rchives #418,[ˈäl̪t̪er] ヒーロー,418.png,,Pømme,Seed,The Slayer,All Caps,Monk,,,1
419,AH!rchives #419,[ˈäl̪t̪er] ヒーロー,419.png,,Meknah,Nebu,Tribe,Stoik,Hero,Pega,,1
420,AH!rchives #420,[ˈäl̪t̪er] ヒーロー,420.png,,Megah!,Maze,Shocked,All Caps,!Champloo,Extended Version,,1
421,AH!rchives #421,[ˈäl̪t̪er] ヒーロー,421.png,,Sanctuary,Clay,Mercy,Quiet,General,Miya,,1
422,AH!rchives #422,[ˈäl̪t̪er] ヒーロー,422.png,,Neo,Gumbo,Ye,All Caps,,,,2
423,AH!rchives #423,[ˈäl̪t̪er] ヒーロー,423.png,The Shining,Pømme,Redbone,Bloody,Kookies,,Seiya,,1
